TicketID,Level1_Minutes,Level2_Minutes,Level3_Minutes,Closed_Level
TKT0368,79,0,0,1
TKT0315,44,58,0,2
TKT0321,39,0,0,1
TKT0326,44,0,0,1
TKT0475,97,93,91,3
TKT0444,99,0,0,1
TKT0165,58,26,0,2
TKT0308,76,0,0,1
TKT0004,119,70,0,2
TKT0477,108,0,0,1
TKT0311,45,95,0,2
TKT0160,87,119,0,2
TKT0227,37,0,0,1
TKT0082,74,0,0,1
TKT0090,52,0,0,1
TKT0154,94,24,33,3
TKT0332,81,86,0,2
TKT0495,50,12,72,3
TKT0129,19,0,0,1
TKT0198,105,0,0,1
TKT0008,18,9,96,3
TKT0316,69,64,0,2
TKT0480,118,82,7,3
TKT0345,18,14,0,2
TKT0095,15,58,39,3
TKT0328,70,106,0,2
TKT0230,95,0,0,1
TKT0213,76,0,0,1
TKT0449,84,0,0,1
TKT0460,11,0,0,1
TKT0373,42,62,0,2
TKT0401,50,118,0,2
TKT0392,116,0,0,1
TKT0148,27,81,0,2
TKT0285,32,0,0,1
TKT0112,19,68,0,2
TKT0207,90,0,0,1
TKT0096,94,0,0,1
TKT0323,59,18,0,2
TKT0399,83,0,0,1
TKT0404,11,87,30,3
TKT0470,7,0,0,1
TKT0254,77,0,0,1
TKT0141,44,0,0,1
TKT0427,96,5,117,3
TKT0179,51,115,0,2
TKT0388,69,0,0,1
TKT0137,9,0,0,1
TKT0438,15,0,0,1
TKT0106,98,0,0,1
TKT0304,60,0,0,1
TKT0180,60,0,0,1
TKT0240,44,0,0,1
TKT0067,74,61,5,3
TKT0043,71,0,0,1
TKT0491,11,49,0,2
TKT0282,102,0,0,1
TKT0412,20,53,0,2
TKT0147,24,83,0,2
TKT0068,55,113,0,2
TKT0038,82,0,0,1
TKT0467,21,0,0,1
TKT0459,48,92,0,2
TKT0494,99,43,13,3
TKT0066,60,0,0,1
TKT0073,105,90,0,2
TKT0442,42,0,0,1
TKT0464,44,0,0,1
TKT0307,31,55,0,2
TKT0393,120,95,0,2
TKT0289,82,64,0,2
TKT0252,36,0,0,1
TKT0028,96,35,111,3
TKT0092,31,13,0,2
TKT0347,91,41,67,3
TKT0089,51,115,97,3
TKT0250,65,0,0,1
TKT0425,20,38,0,2
TKT0159,34,0,0,1
TKT0369,49,110,31,3
TKT0157,95,0,0,1
TKT0130,14,77,0,2
TKT0206,49,37,0,2
TKT0146,108,74,0,2
TKT0039,25,35,23,3
TKT0331,90,0,0,1
TKT0261,85,99,0,2
TKT0140,56,31,32,3
TKT0163,105,55,0,2
TKT0204,109,47,89,3
TKT0007,108,103,0,2
TKT0172,68,42,66,3
TKT0138,19,95,21,3
TKT0062,86,15,0,2
TKT0405,14,114,0,2
TKT0156,8,92,0,2
TKT0081,27,6,0,2
TKT0098,114,14,0,2
TKT0175,104,0,0,1
TKT0281,11,0,0,1
TKT0346,31,40,0,2
TKT0305,59,0,0,1
TKT0473,27,0,0,1
TKT0309,83,38,0,2
TKT0462,9,101,0,2
TKT0286,43,0,0,1
TKT0280,115,0,0,1
TKT0186,53,10,0,2
TKT0492,55,19,0,2
TKT0123,50,75,0,2
TKT0185,36,0,0,1
TKT0152,55,75,0,2
TKT0433,10,0,0,1
TKT0192,32,98,0,2
TKT0376,8,33,31,3
TKT0049,30,0,0,1
TKT0244,68,0,0,1
TKT0497,91,53,72,3
TKT0382,60,56,53,3
TKT0024,9,77,0,2
TKT0116,29,0,0,1
TKT0022,44,59,0,2
TKT0013,24,11,0,2
TKT0027,16,0,0,1
TKT0488,20,70,0,2
TKT0352,66,14,0,2
TKT0258,27,0,0,1
TKT0151,77,0,0,1
TKT0184,110,0,0,1
TKT0418,33,0,0,1
TKT0499,73,91,0,2
TKT0441,60,0,0,1
TKT0047,98,26,0,2
TKT0465,65,29,0,2
TKT0353,57,16,0,2
TKT0235,73,0,0,1
TKT0203,81,116,15,3
TKT0327,100,77,0,2
TKT0416,59,0,0,1
TKT0420,68,114,0,2
TKT0210,89,14,31,3
TKT0253,24,0,0,1
TKT0336,98,112,0,2
TKT0103,100,6,118,3
TKT0211,53,0,0,1
TKT0121,39,23,25,3
TKT0463,66,0,0,1
TKT0325,65,106,0,2
TKT0476,47,0,0,1
TKT0181,110,0,0,1
TKT0016,118,75,0,2
TKT0458,99,39,76,3
TKT0041,94,92,60,3
TKT0005,94,5,0,2
TKT0251,101,72,0,2
TKT0269,23,14,69,3
TKT0078,34,0,0,1
TKT0344,40,0,0,1
TKT0167,48,74,0,2
TKT0268,74,0,0,1
TKT0171,53,69,63,3
TKT0408,78,0,0,1
TKT0313,59,74,0,2
TKT0143,56,68,53,3
TKT0215,49,117,0,2
TKT0237,42,119,0,2
TKT0367,73,0,0,1
TKT0122,99,109,0,2
TKT0403,40,0,0,1
TKT0314,44,0,0,1
TKT0219,83,0,0,1
TKT0260,6,100,103,3
TKT0245,11,97,69,3
TKT0097,40,0,0,1
TKT0045,26,28,6,3
TKT0266,104,74,0,2
TKT0134,35,57,0,2
TKT0150,8,111,84,3
TKT0278,104,0,0,1
TKT0290,88,0,0,1
TKT0221,103,111,0,2
TKT0002,107,0,0,1
TKT0115,40,41,0,2
TKT0058,69,84,0,2
TKT0161,8,65,0,2
TKT0306,106,0,0,1
TKT0208,21,0,0,1
TKT0052,43,0,0,1
TKT0263,20,0,0,1
TKT0436,95,0,0,1
TKT0383,11,0,0,1
TKT0036,68,0,0,1
TKT0059,11,64,0,2
TKT0032,84,0,0,1
TKT0153,49,0,0,1
TKT0466,23,92,0,2
TKT0142,64,0,0,1
TKT0234,56,86,0,2
TKT0487,69,43,96,3
TKT0354,32,42,0,2
TKT0155,58,25,6,3
TKT0249,107,72,31,3
TKT0033,30,0,0,1
TKT0034,5,76,0,2
TKT0370,16,119,80,3
TKT0435,98,108,0,2
TKT0077,43,0,0,1
TKT0019,119,110,0,2
TKT0275,15,67,77,3
TKT0169,38,27,0,2
TKT0417,27,114,33,3
TKT0053,116,0,0,1
TKT0136,110,18,0,2
TKT0359,106,0,0,1
TKT0284,49,109,48,3
TKT0196,97,0,0,1
TKT0158,86,35,0,2
TKT0443,90,0,0,1
TKT0061,15,0,0,1
TKT0273,32,98,65,3
TKT0195,62,0,0,1
TKT0113,115,59,0,2
TKT0300,63,0,0,1
TKT0343,105,47,77,3
TKT0409,119,0,0,1
TKT0329,46,27,58,3
TKT0046,60,0,0,1
TKT0481,24,0,0,1
TKT0498,10,7,0,2
TKT0272,82,31,0,2
TKT0279,109,98,0,2
TKT0431,108,0,0,1
TKT0018,77,94,0,2
TKT0190,28,0,0,1
TKT0469,10,15,0,2
TKT0051,73,0,0,1
TKT0355,26,0,0,1
